package_name,banned_versions,severity,weekly_downloads,first_detected,patient_zero,description,attack_vector,priority
rxnt-authentication,"0.0.5,0.0.6,0.0.3,0.0.4",CRITICAL,150,2025-09-14T17:58:50Z,true,Patient Zero - First package compromised in the Shai-Hulud attack,postinstall script,1
@ctrl/tinycolor,"4.1.1,4.1.2",CRITICAL,2200000,2025-09-15,false,Color manipulation library with massive reach - 2.2M weekly downloads,postinstall script,2
ngx-bootstrap,"18.1.4,19.0.3,20.0.4,20.0.5,20.0.6,19.0.4,20.0.3",CRITICAL,300000,2025-09-15,false,Angular Bootstrap components with 300K weekly downloads,postinstall script,3
ng2-file-upload,"8.0.3,7.0.2,7.0.3,8.0.1,8.0.2,9.0.1",CRITICAL,100000,2025-09-15,false,File upload component for Angular with 100K weekly downloads,postinstall script,4
@ctrl/deluge,"7.2.2,7.2.1",HIGH,50000,2025-09-15,false,Popular torrent client library,postinstall script,5
@ctrl/qbittorrent,"9.7.2,9.7.1",HIGH,45000,2025-09-15,false,qBittorrent API client,postinstall script,6
@ctrl/magnet-link,"4.0.4,4.0.3",HIGH,35000,2025-09-15,false,Magnet URI parser library,postinstall script,7
@ctrl/golang-template,"1.4.3,1.4.2",HIGH,30000,2025-09-15,false,Go template engine for JavaScript,postinstall script,8
@ctrl/ngx-codemirror,"7.0.2,7.0.1",HIGH,25000,2025-09-15,false,CodeMirror wrapper for Angular,postinstall script,9
@ctrl/ngx-csv,"6.0.2,6.0.1",HIGH,15000,2025-09-15,false,CSV manipulation for Angular,postinstall script,10
@ctrl/react-adsense,"2.0.2,2.0.1",MEDIUM,12000,2025-09-15,false,Google AdSense component for React,postinstall script,11
@ctrl/ngx-emoji-mart,"9.2.2,9.2.1",MEDIUM,8000,2025-09-15,false,Emoji picker component for Angular,postinstall script,12
@ctrl/torrent-file,"4.1.2,4.1.1",MEDIUM,8000,2025-09-15,false,Torrent file parser,postinstall script,13
@ctrl/transmission,7.3.1,MEDIUM,6000,2025-09-15,false,Transmission client API,postinstall script,14
@ctrl/shared-torrent,"6.3.2,6.3.1",MEDIUM,5000,2025-09-15,false,Shared torrent utilities,postinstall script,15
@ctrl/ngx-rightclick,"4.0.2,4.0.1",MEDIUM,3000,2025-09-15,false,Right-click context menu for Angular,postinstall script,16
@ctrl/ts-base32,"4.0.2,4.0.1",MEDIUM,2500,2025-09-15,false,Base32 encoding library for TypeScript,postinstall script,17
@nativescript-community/gesturehandler,2.0.35,HIGH,20000,2025-09-15,false,Gesture handling for NativeScript,postinstall script,18
@nativescript-community/sentry,4.6.43,HIGH,15000,2025-09-15,false,Sentry integration for NativeScript,postinstall script,19
@nativescript-community/text,"1.6.13,1.6.10,1.6.11,1.6.12,1.6.9",HIGH,12000,2025-09-15,false,Text handling utilities for NativeScript,postinstall script,20
@nativescript-community/ui-collectionview,6.0.6,HIGH,10000,2025-09-15,false,Collection view component for NativeScript,postinstall script,21
@nativescript-community/ui-drawer,0.1.30,MEDIUM,8000,2025-09-15,false,Drawer component for NativeScript,postinstall script,22
@nativescript-community/ui-image,4.5.6,MEDIUM,7000,2025-09-15,false,Image component for NativeScript,postinstall script,23
@nativescript-community/ui-material-bottomsheet,7.2.72,MEDIUM,6000,2025-09-15,false,Material bottom sheet for NativeScript,postinstall script,24
@nativescript-community/ui-material-core,"7.2.76,7.2.72,7.2.73,7.2.74,7.2.75",MEDIUM,8000,2025-09-15,false,Material design core for NativeScript,postinstall script,25
@nativescript-community/ui-material-core-tabs,"7.2.76,7.2.72,7.2.73,7.2.74,7.2.75",MEDIUM,5000,2025-09-15,false,Material tabs for NativeScript,postinstall script,26
@nativescript-community/arraybuffers,"1.1.6,1.1.7,1.1.8",MEDIUM,4000,2025-09-15,false,ArrayBuffer utilities for NativeScript,postinstall script,27
@nativescript-community/perms,"3.0.5,3.0.6,3.0.7,3.0.8,3.0.9",MEDIUM,5500,2025-09-15,false,Permissions handling for NativeScript,postinstall script,28
@nativescript-community/sqlite,"3.5.2,3.5.3,3.5.4,3.5.5",MEDIUM,7000,2025-09-15,false,SQLite integration for NativeScript,postinstall script,29
@nativescript-community/typeorm,"0.2.30,0.2.31,0.2.32,0.2.33",MEDIUM,3000,2025-09-15,false,TypeORM integration for NativeScript,postinstall script,30
@nativescript-community/ui-document-picker,"1.1.27,1.1.28,13.0.32",MEDIUM,4500,2025-09-15,false,Document picker for NativeScript,postinstall script,31
@nativescript-community/ui-label,"1.3.35,1.3.36,1.3.37",MEDIUM,3500,2025-09-15,false,Label component for NativeScript,postinstall script,32
@nativescript-community/ui-material-bottom-navigation,"7.2.72,7.2.73,7.2.74,7.2.75",MEDIUM,4000,2025-09-15,false,Material bottom navigation for NativeScript,postinstall script,33
@nativescript-community/ui-material-ripple,"7.2.72,7.2.73,7.2.74,7.2.75",MEDIUM,2500,2025-09-15,false,Material ripple effects for NativeScript,postinstall script,34
@nativescript-community/ui-material-tabs,"7.2.72,7.2.73,7.2.74,7.2.75",MEDIUM,3000,2025-09-15,false,Material tabs for NativeScript,postinstall script,35
@nativescript-community/ui-pager,"14.1.36,14.1.37,14.1.38",MEDIUM,2000,2025-09-15,false,Pager component for NativeScript,postinstall script,36
@nativescript-community/ui-pulltorefresh,"2.5.4,2.5.5,2.5.6,2.5.7",MEDIUM,4500,2025-09-15,false,Pull-to-refresh component for NativeScript,postinstall script,37
@teselagen/bio-parsers,"0.4.29,0.4.30",MEDIUM,2000,2025-09-15,false,Biological data parsers,postinstall script,38
@teselagen/bounce-loader,"0.3.16,0.3.17",MEDIUM,1500,2025-09-15,false,Loading animation component,postinstall script,39
